region,time
Lincolnshire,3.3
Greater Manchester South West,1.3
Redbridge and Waltham Forest,4.8
Enfield,3.1
Buckinghamshire CC,1.3
Portsmouth,1.3
Southampton,59.6
Brighton and Hove,56.6
Coventry,38.8
Walsall,21.2
North Yorkshire CC,19
Essex Haven Gateway,14.3
Southend-on-Sea,12.6
Gloucestershire,14.6
East Derbyshire,22.8
Wien,13.6
Burgenland,10.4
Steiermark,11.1
Oberösterreich,15.2
Nieder­österreich,18.4
Voralberg,10.2
Tirol,15.1
Karnten/Carinthia,15.5
Salzburg,4.5
Nürnberg,4.7
LK Aschaffenburg,9.5
Fürth,6.7
Landsberg am Lech,6.1
LK Donau-Ries,6.2
Minden-Lübbecke,16
Mönchengladbach,8.7
Münster,12.4
Rhein-Kreis Neuss,9.6
LK Ennepe-Ruhr-Kreis,10.2
LK Rems-Murr-Kreis,9.7
LK Breisgau-Hochschwarzwald,10.1
LK Enzkreis,9.8
LK Hildesheim,8.1
LK Gifhorn,5.4
Abruzzo,7.6
Aosta Valley,7.3
Apulia (AKA Puglia),11.2
Basilicata,6.9
Calabria,13.2
Campania,20
Emilia-Romagna,1.9
Friuli-Venezia Giulia,1.1
Lazio,3.4
Liguria,1.2
Lombardy,1.5
Marche,1.3
Molise,40.6
Piedmont,1.6
Sardinia,1.1
Sicily,1.4
Trentino (aka Trento),27.4
South Tyrol (aka Bolzano aka Alto-Adige),46.3
Tuscania,1.6
Umbria,1.1
Veneto,1.5
Ústí nad Labem,55
Prague,38.6
Moravian-Silesian,1.8
Central Bohemian,20.9
South Bohemian,1.6
Vysočina,1.7
Plzeň,2.3
Karlovy Vary,1.4
Liberec,1.9
Hradec Králové,2.4
Pardubice,1.8
Olomouc,49
South Moravian,1.2
Zlín,2.4
Genéve,2
Zurich,1.4
Basel-Stadt,2.1
Grischun,1.7
Freiburg,2.7
Aargau,3.1
Thurgau,2
Jura,1.4
Basel-Landschaft,2.1
Vaud,2.1
Valais,2.4
Zug,1.2
Neuchâtel,2.2
St. Gallen,3
Luzern,3.2
Amsterdam-Amstelland,2.7
Brabant-North,2
Brabant-Southeast,1.2
Drenthe,1.8
Flevoland,1.3
Friesland,2.7
Gelderland-Midden,3.1
Gelderland-South,2.7
Gooi en Vechtstreek,3.1
Groningen,51.9
Haaglanden,14.4
Hollands Midden,1.9
IJsselland,2.1
Kennemerland,1.5
Limburg-North,6.3
Central and West Brabant,10.4
North and East Gelderland,5
North Holland North,6.3
Rotterdam-Rijnmond,8
Twente,4.5
Utrecht,9.1
Zaanstreek-Waterland,4.7
Zealand,5
South Holland South,5.4
South Limburg,4.9
